"refStructureName","companyName","fieldName","sectorName","plantRow","detectedValueTypeId","timestamp","value"
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","PLUV_CURR",1714089600,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","PLUV_CURR",1714089600,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","DRIPPER",1714089600,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","DRIPPER",1714089600,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","PLUV_CURR",1714176000,0.2
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","PLUV_CURR",1714176000,0.2
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","DRIPPER",1714176000,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","DRIPPER",1714176000,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","DRIPPER",1714262400,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","DRIPPER",1714262400,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","PLUV_CURR",1714262400,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","PLUV_CURR",1714262400,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","PLUV_CURR",1714348800,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","DRIPPER",1714348800,5.2584
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","PLUV_CURR",1714348800,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","DRIPPER",1714348800,5.8222
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","DRIPPER",1714435200,7.5766
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","PLUV_CURR",1714435200,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","PLUV_CURR",1714435200,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","DRIPPER",1714435200,6.1908
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","DRIPPER",1714521600,0.0086
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","PLUV_CURR",1714521600,14
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","DRIPPER",1714521600,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","PLUV_CURR",1714521600,14
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","DRIPPER",1714608000,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","PLUV_CURR",1714608000,1.2
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","DRIPPER",1714608000,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","PLUV_CURR",1714608000,1.2
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","PLUV_CURR",1714694400,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","DRIPPER",1714694400,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","PLUV_CURR",1714694400,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","DRIPPER",1714694400,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","PLUV_CURR",1714780800,0.4
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","DRIPPER",1714780800,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","PLUV_CURR",1714780800,0.4
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","DRIPPER",1714780800,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","PLUV_CURR",1714867200,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","DRIPPER",1714867200,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","PLUV_CURR",1714867200,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","DRIPPER",1714867200,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","DRIPPER",1714953600,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","PLUV_CURR",1714953600,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","DRIPPER",1714953600,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","PLUV_CURR",1714953600,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","DRIPPER",1715040000,6.6444
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","PLUV_CURR",1715040000,1.4
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","PLUV_CURR",1715040000,1.4
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","DRIPPER",1715040000,7.3444
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","PLUV_CURR",1715126400,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","PLUV_CURR",1715126400,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","DRIPPER",1715126400,0.559
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","DRIPPER",1715126400,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","DRIPPER",1715212800,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","DRIPPER",1715212800,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","PLUV_CURR",1715212800,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","PLUV_CURR",1715212800,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","PLUV_CURR",1715299200,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","PLUV_CURR",1715299200,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","DRIPPER",1715299200,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","DRIPPER",1715299200,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","DRIPPER",1715385600,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","DRIPPER",1715385600,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","PLUV_CURR",1715385600,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","PLUV_CURR",1715385600,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","DRIPPER",1715472000,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","PLUV_CURR",1715472000,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","PLUV_CURR",1715472000,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","DRIPPER",1715472000,5.9892
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","PLUV_CURR",1715558400,3
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","DRIPPER",1715558400,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","DRIPPER",1715558400,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","PLUV_CURR",1715558400,3
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","DRIPPER",1715644800,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","DRIPPER",1715644800,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","PLUV_CURR",1715644800,0.2
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","PLUV_CURR",1715644800,0.2
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","PLUV_CURR",1715731200,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","DRIPPER",1715731200,6.3168
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","PLUV_CURR",1715731200,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","DRIPPER",1715731200,6.6392
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","PLUV_CURR",1715817600,12
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","DRIPPER",1715817600,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","DRIPPER",1715817600,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","PLUV_CURR",1715817600,12
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","DRIPPER",1715904000,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","PLUV_CURR",1715904000,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","PLUV_CURR",1715904000,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","DRIPPER",1715904000,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","PLUV_CURR",1715990400,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","DRIPPER",1715990400,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","DRIPPER",1715990400,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","PLUV_CURR",1715990400,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","DRIPPER",1716076800,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","PLUV_CURR",1716076800,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","PLUV_CURR",1716076800,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","DRIPPER",1716076800,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","PLUV_CURR",1716163200,28.4
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","PLUV_CURR",1716163200,28.4
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","DRIPPER",1716163200,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","DRIPPER",1716163200,0.0084
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","DRIPPER",1716249600,0.0084
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","PLUV_CURR",1716249600,9.8
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","DRIPPER",1716249600,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","PLUV_CURR",1716249600,9.8
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","PLUV_CURR",1716336000,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","DRIPPER",1716336000,6.8544
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","PLUV_CURR",1716336000,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","DRIPPER",1716336000,8.0324
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","PLUV_CURR",1716422400,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","PLUV_CURR",1716422400,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","DRIPPER",1716422400,1.6942
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","DRIPPER",1716422400,0.0168
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","DRIPPER",1716508800,1.6942
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","PLUV_CURR",1716508800,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","PLUV_CURR",1716508800,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","DRIPPER",1716508800,1.0752
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","DRIPPER",1716595200,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","PLUV_CURR",1716595200,2.4
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","PLUV_CURR",1716595200,2.4
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","DRIPPER",1716595200,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","DRIPPER",1716681600,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","PLUV_CURR",1716681600,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","DRIPPER",1716681600,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","PLUV_CURR",1716681600,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","DRIPPER",1716768000,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","DRIPPER",1716768000,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","PLUV_CURR",1716768000,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","PLUV_CURR",1716768000,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","DRIPPER",1716854400,9.16
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","PLUV_CURR",1716854400,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","DRIPPER",1716854400,8.1648
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","PLUV_CURR",1716854400,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","DRIPPER",1716940800,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","PLUV_CURR",1716940800,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","DRIPPER",1716940800,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","PLUV_CURR",1716940800,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","PLUV_CURR",1717027200,0.6
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","DRIPPER",1717027200,4.9308
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","PLUV_CURR",1717027200,0.6
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","DRIPPER",1717027200,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","PLUV_CURR",1717113600,0.6
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","DRIPPER",1717113600,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","DRIPPER",1717113600,1.46
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","PLUV_CURR",1717113600,0.6
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","DRIPPER",1717200000,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","PLUV_CURR",1717200000,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","PLUV_CURR",1717200000,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","DRIPPER",1717200000,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","PLUV_CURR",1717286400,2.2
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","DRIPPER",1717286400,7.88
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","PLUV_CURR",1717286400,2.2
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","DRIPPER",1717286400,9.45
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","DRIPPER",1717372800,2.27
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","ADVICE",1717372800,2
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","DRIPPER",1717372800,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","PLUV_CURR",1717372800,2.8
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","PLUV_CURR",1717372800,2.8
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","DRIPPER",1717459200,0.08
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","DRIPPER",1717459200,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","PLUV_CURR",1717459200,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","PLUV_CURR",1717459200,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","ADVICE",1717459200,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T0","T0","DRIPPER",1717545600,7.17
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","ADVICE",1717545600,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","PLUV_CURR",1717545600,0
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano 2024","T1","T1 basso","DRIPPER",1717545600,0
